SignalName,ActivityFactor
TOP.VexiiRiscv.integer_RegFilePlugin_logic_regfile_fpga.asMem_writes_0_port_payload_data[31:0],0.27599498
TOP.VexiiRiscv.decode_ctrls_1_up_Decode_DOP_ID_0[9:0],0.27140983
TOP.VexiiRiscv.decode_ctrls_1_down_Decode_DOP_ID_0[9:0],0.27140983
TOP.VexiiRiscv.decode_ctrls_0_up_Decode_DOP_ID_0[9:0],0.27140983
TOP.VexiiRiscv.decode_ctrls_0_down_Decode_DOP_ID_0[9:0],0.27140983
TOP.VexiiRiscv.AlignerPlugin_logic_feeder_harts_0_dopId[9:0],0.27140983
TOP.VexiiRiscv.WhiteboxerPlugin_logic_decodes_0_decodeId[9:0],0.27140983
TOP.VexiiRiscv.WhiteboxerPlugin_logic_serializeds_0_decodeId[9:0],0.27140983
TOP.VexiiRiscv.execute_ctrl0_down_Decode_UOP_ID_lane0[15:0],0.27140901
TOP.VexiiRiscv.execute_ctrl0_up_Decode_UOP_ID_lane0[15:0],0.27140901
TOP.VexiiRiscv.decode_ctrls_1_down_Decode_UOP_ID_0[15:0],0.27140901
TOP.VexiiRiscv.DecoderPlugin_logic_harts_0_uopId[15:0],0.27140901
TOP.VexiiRiscv.DecoderPlugin_logic_laneLogic_0_completionPort_payload_uopId[15:0],0.27140901
TOP.VexiiRiscv.DecoderPlugin_logic_laneLogic_0_flushPort_payload_uopId[15:0],0.27140901
TOP.VexiiRiscv.DecoderPlugin_logic_laneLogic_0_uopIdBase[15:0],0.27140901
TOP.VexiiRiscv.DispatchPlugin_logic_candidates_0_ctx_hm_Decode_UOP_ID[15:0],0.27140901
TOP.VexiiRiscv.WhiteboxerPlugin_logic_serializeds_0_microOpId[15:0],0.27140901
TOP.VexiiRiscv.WhiteboxerPlugin_logic_dispatches_0_microOpId[15:0],0.27140901
TOP.VexiiRiscv.WhiteboxerPlugin_logic_completions_ports_0_payload_uopId[15:0],0.27140901
TOP.VexiiRiscv.WhiteboxerPlugin_logic_reschedules_flushes_4_payload_uopId[15:0],0.27140901
TOP.VexiiRiscv.LsuCachelessPlugin_logic_bus_cmd_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.streamArbiter_1_io_output_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.execute_ctrl4_up_Decode_UOP_ID_lane0[15:0],0.27140737
TOP.VexiiRiscv.execute_ctrl3_up_Decode_UOP_ID_lane0[15:0],0.27140737
TOP.VexiiRiscv.execute_ctrl1_down_Decode_UOP_ID_lane0[15:0],0.27140737
TOP.VexiiRiscv.execute_ctrl2_up_Decode_UOP_ID_lane0[15:0],0.27140737
TOP.VexiiRiscv.execute_ctrl1_up_Decode_UOP_ID_lane0[15:0],0.27140737
TOP.VexiiRiscv.execute_ctrl4_down_Decode_UOP_ID_lane0[15:0],0.27140737
TOP.VexiiRiscv.execute_ctrl3_down_Decode_UOP_ID_lane0[15:0],0.27140737
TOP.VexiiRiscv.execute_ctrl2_down_Decode_UOP_ID_lane0[15:0],0.27140737
TOP.VexiiRiscv.LsuCachelessPlugin_logic_flushPort_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.early0_BranchPlugin_logic_flushPort_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.early0_BranchPlugin_logic_jumpLogic_learn_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.CsrAccessPlugin_logic_flushPort_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.early0_EnvPlugin_logic_flushPort_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.LearnPlugin_logic_learn_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.LearnPlugin_logic_buffered_0_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.LearnPlugin_logic_arbitrated_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.LearnPlugin_logic_arbitrated_toFlow_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.lane0_integer_WriteBackPlugin_logic_stages_0_write_payload_uopId[15:0],0.27140737
TOP.VexiiRiscv.lane0_integer_WriteBackPlugin_logic_stages_1_write_payload_uopId[15:0],0.27140737
