SignalName,ActivityFactor
TOP.VexiiRiscv.AlignerPlugin_logic_extractors_0_ctx_pc[31:0],0.01425405
TOP.VexiiRiscv.WhiteboxerPlugin_logic_decodes_0_pc[63:0],0.01425405
TOP.VexiiRiscv.DispatchPlugin_logic_candidates_0_ctx_hm_TRAP,0.01425405
TOP.VexiiRiscv.DispatchPlugin_logic_inserter_0_trap,0.01425405
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_pending_arbiter_ports_2_payload_tval[31:0],0.01425405
TOP.VexiiRiscv.FetchCachelessPlugin_logic_fork_translated_rData_address[31:0],0.01425405
TOP.VexiiRiscv.FetchCachelessPlugin_logic_bus_cmd_payload_regNext_address[31:0],0.01425405
TOP.VexiiRiscv.FetchCachelessPlugin_logic_bus_cmd_payload_address[31:0],0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_up_isReady,0.01424781
TOP.VexiiRiscv.execute_ctrl3_up_AguPlugin_SEL_lane0,0.01424781
TOP.VexiiRiscv.execute_ctrl2_up_AguPlugin_SEL_lane0,0.01424781
TOP.VexiiRiscv.decode_ctrls_0_down_isValid,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_down_isValid,0.01424781
TOP.VexiiRiscv.decode_ctrls_1_down_valid,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_1_up_valid,0.01424781
TOP.VexiiRiscv.decode_ctrls_0_down_valid,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_down_valid,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_1_up_cancel,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_down_Fetch_WORD_PC[31:0],0.01424781
TOP.VexiiRiscv.execute_ctrl2_LANE_SEL_lane0_bypass,0.01424781
TOP.VexiiRiscv.execute_ctrl1_down_LANE_SEL_lane0,0.01424781
TOP.VexiiRiscv.execute_ctrl1_LANE_SEL_lane0_bypass,0.01424781
TOP.VexiiRiscv.execute_ctrl0_LANE_SEL_lane0_bypass,0.01424781
TOP.VexiiRiscv.execute_ctrl1_down_AguPlugin_SEL_lane0,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_1_up_isCancel,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_up_isMoving,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_up_isValid,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_up_isFiring,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_up_Fetch_WORD_PC[31:0],0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_up_ready,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_up_valid,0.01424781
TOP.VexiiRiscv.decode_ctrls_1_down_LANE_SEL_0,0.01424781
TOP.VexiiRiscv.decode_ctrls_1_LANE_SEL_0_bypass,0.01424781
TOP.VexiiRiscv.decode_ctrls_0_down_LANE_SEL_0,0.01424781
TOP.VexiiRiscv.decode_ctrls_0_LANE_SEL_0_bypass,0.01424781
TOP.VexiiRiscv.decode_ctrls_0_up_isMoving,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_1_down_valid,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_1_down_isValid,0.01424781
TOP.VexiiRiscv.execute_ctrl0_down_LANE_SEL_lane0,0.01424781
TOP.VexiiRiscv.execute_ctrl3_down_LANE_SEL_lane0,0.01424781
TOP.VexiiRiscv.execute_ctrl2_down_LANE_SEL_lane0,0.01424781
TOP.VexiiRiscv.execute_ctrl0_up_LANE_SEL_lane0,0.01424781
TOP.VexiiRiscv.decode_ctrls_1_up_isValid,0.01424781
TOP.VexiiRiscv.execute_ctrl3_down_AguPlugin_SEL_lane0,0.01424781
TOP.VexiiRiscv.execute_ctrl3_up_COMPLETED_lane0,0.01424781
TOP.VexiiRiscv.execute_ctrl3_down_COMPLETED_lane0,0.01424781
TOP.VexiiRiscv.execute_ctrl3_COMPLETED_lane0_bypass,0.01424781
TOP.VexiiRiscv.execute_ctrl1_up_LANE_SEL_lane0,0.01424781
TOP.VexiiRiscv.decode_ctrls_1_up_LANE_SEL_0,0.01424781
TOP.VexiiRiscv.decode_ctrls_1_up_valid,0.01424781
TOP.VexiiRiscv.decode_ctrls_1_up_isMoving,0.01424781
TOP.VexiiRiscv.execute_ctrl3_up_LANE_SEL_lane0,0.01424781
TOP.VexiiRiscv.execute_ctrl2_down_AguPlugin_SEL_lane0,0.01424781
TOP.VexiiRiscv.execute_ctrl2_up_LANE_SEL_lane0,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_down_MMU_TRANSLATED[31:0],0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_1_up_isValid,0.01424781
TOP.VexiiRiscv.decode_ctrls_0_up_isValid,0.01424781
TOP.VexiiRiscv.decode_ctrls_0_up_valid,0.01424781
TOP.VexiiRiscv.decode_ctrls_0_up_LANE_SEL_0,0.01424781
TOP.VexiiRiscv.decode_ctrls_0_lane0_upIsCancel,0.01424781
TOP.VexiiRiscv.decode_ctrls_0_up_isFiring,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_down_isFiring,0.01424781
TOP.VexiiRiscv.AlignerPlugin_api_downMoving,0.01424781
TOP.VexiiRiscv.decode_logic_trapPending[0:0],0.01424781
TOP.VexiiRiscv.WhiteboxerPlugin_logic_fetch_fire,0.01424781
TOP.VexiiRiscv.AlignerPlugin_logic_slices_mask[0:0],0.01424781
TOP.VexiiRiscv.AlignerPlugin_logic_scanners_0_checker_0_present,0.01424781
TOP.VexiiRiscv.AlignerPlugin_logic_scanners_0_checker_0_valid,0.01424781
TOP.VexiiRiscv.AlignerPlugin_logic_scanners_0_valid,0.01424781
TOP.VexiiRiscv.AlignerPlugin_logic_extractors_0_usableMask[0:0],0.01424781
TOP.VexiiRiscv.AlignerPlugin_logic_extractors_0_usableMask_bools_0,0.01424781
TOP.VexiiRiscv.AlignerPlugin_logic_extractors_0_slicesOh[0:0],0.01424781
TOP.VexiiRiscv.AlignerPlugin_logic_extractors_0_valid,0.01424781
TOP.VexiiRiscv.when_AlignerPlugin_l171,0.01424781
TOP.VexiiRiscv.AlignerPlugin_logic_feeder_lanes_0_valid,0.01424781
TOP.VexiiRiscv.when_AlignerPlugin_l292,0.01424781
TOP.VexiiRiscv.FetchCachelessPlugin_logic_buffer_full,0.01424781
TOP.VexiiRiscv.FetchCachelessPlugin_logic_onPma_port_cmd_address[31:0],0.01424781
TOP.VexiiRiscv.WhiteboxerPlugin_logic_decodes_0_fire,0.01424781
TOP.VexiiRiscv.WhiteboxerPlugin_logic_decodes_0_spawn,0.01424781
TOP.VexiiRiscv.when_DecoderPlugin_l138,0.01424781
